"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"103 410 грн","ЖК Botanic Paradise","Нова забудова","Шевченківський","4 кімнати","230 / 110 / 20 м²","поверх 9 з 10","спец. проект","монолітно-каркасний","2010"
"68 940 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","4 кімнати","140 / 80 / 30 м²","поверх 11 з 17","спец. проект","монолітно-каркасний","2013"
"84 260 грн","Липки","Печерський","Київ","5 кімнат","340 / 150 / 30 м²","поверх 6 з 9","дореволюційний","цегляний будинок","1911"
"72 770 грн","Солдатська слобідка","Шевченківський","Київ","4 кімнати","170 / 114 / 25 м²","поверх 9 з 10","спец. проект","монолітно-каркасний","2006"
"65 110 грн","Старий Київ","Шевченківський","Київ","5 кімнат","240 / 120 / 20 м²","поверх 4 з 5","дореволюційний","цегляний будинок","1917"
"57 000 грн","ЖК пров. Лабораторний, 6","Черепанова гора","Печерський","4 кімнати","131 / 90 / 23 м²","поверх 6 з 23","спец. проект","монолітно-каркасний","2010"
"191 500 грн","ЖК Липська вежа","Липки","Печерський","4 кімнати","250 / 150 / 25 м²","поверх 20 з 28","спец. проект","монолітно-каркасний","2009"
"30 000 грн","Лук'янівка","Шевченківський","Київ","4 кімнати","155 / 90 / 15 м²","поверх 5 з 14","спец. проект","монолітно-каркасний","2002"
"42 130 грн","ЖК Творець","Нижній Печерськ","Печерський","4 кімнати","127 / 89 / 18 м²","поверх 22 з 25","спец. проект","монолітно-каркасний","2005"
"76 600 грн","Липки","Печерський","Київ","4 кімнати","270 / 130 / 35 м²","поверх 3 з 16","спец. проект","монолітно-каркасний","2000"
"191 500 грн","ЖК Renaissance Residence","Звіринець","Печерський","4 кімнати","210 / 80 / 30 м²","поверх 6 з 9","спец. проект","монолітно-каркасний","2013"
"80 000 грн","Нова забудова","Шевченківський","Київ","6 кімнат","240 / 180 / 25 м²","поверх 3 з 4","дореволюційний","цегляний будинок","1884"
"30 000 грн","Лук'янівка","Шевченківський","Київ","4 кімнати","91 / 65 / 11 м²","поверх 7 з 7","сталінка","цегляний будинок","1959"
