"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"39 000 грн","Історичний центр","Шевченківський","Київ","4 кімнати","80 / 45 / 25 м²","поверх 8 з 12","спец. проект","цегляний будинок","1969"
"11 000 грн","Шулявка","Солом'янський","Київ","1 кімната","35 / 19 / 7 м²","поверх 8 з 9","гостинка","цегляний будинок","1981"
"20 000 грн","ЖК вул. Велика Китаївська, 53","Саперна Слобідка","Голосіївський","2 кімнати","67 / 40 / 10 м²","поверх 16 з 16","спец. проект","монолітно-каркасний","2008"
"36 000 грн","Лук'янівка","Шевченківський","Київ","4 кімнати","183 / 70 / 20 м²","поверх 8 з 10","спец. проект","монолітно-каркасний","2001"
"14 000 грн","ЖК Welcome Home на Ревуцького","Осокорки","Дарницький","1 кімната","38 / 18 / 10 м²","поверх 15 з 25","спец. проект","панельні","2019"
"17 000 грн","ЖК Славутич","Позняки","Дарницький","2 кімнати","54 / 20 / 20 м²","поверх 4 з 12","спец. проект","монолітно-каркасний","2018"
"68 940 грн","ЖК Park Avenue VIP","Деміївка","Голосіївський","3 кімнати","100 / 30 / 40 м²","поверх 6 з 24","спец. проект","монолітно-каркасний","2013"
"22 980 грн","ЖК Зарічний","Позняки","Дарницький","2 кімнати","50 / 30 / 20 м²","поверх 16 з 25","спец. проект","монолітно-каркасний","2019"
"25 000 грн","Нова забудова","Голосіївський","Київ","1 кімната","60 / 40 / 10 м²","поверх 6 з 9","цегляний будинок","1965",""
"28 000 грн","ЖК Зарічний","Позняки","Дарницький","2 кімнати","63 / 40 / 14 м²","поверх 7 з 25","спец. проект","монолітно-каркасний","2015"
"88 090 грн","Старий Київ","Шевченківський","Київ","2 кімнати","90 / 70 / 9 м²","поверх 3 з 3","дореволюційний","цегляний будинок","1905"
"8 000 грн","Осокорки","Дарницький","Київ","1 кімната","45 / 19 / 12 м²","поверх 18 з 18","спец. проект","панельні","2001"
"42 130 грн","ЖК пр-т Голосіївський, 30-32","Деміївка","Голосіївський","3 кімнати","150 / 100 / 19 м²","поверх 4 з 24","спец. проект","монолітно-каркасний","2011"
"76 600 грн","ЖК Tetris Hall","Печерський","Київ","2 кімнати","55 / 35 / 15 м²","поверх 17 з 23","цегляний будинок","",""
"25 000 грн","ЖК Seven","Позняки","Дарницький","1 кімната","42 / 14 / 17 м²","поверх 14 з 26","спец. проект","монолітно-каркасний","2019"
"10 000 грн","Осокорки","Дарницький","Київ","1 кімната","50 / 20 / 12 м²","поверх 17 з 19","серія КТ","утеплена панель","1998"
"19 000 грн","Лівобережний масив","Дніпровський","Київ","3 кімнати","65.6 / 41.2 / 7.5 м²","поверх 3 з 10","","",""
"49 790 грн","ЖК New York Concept House","Нова забудова","Голосіївський","2 кімнати","88 / 50 / 18 м²","поверх 10 з 24","спец. проект","монолітно-каркасний","2018"
"57 450 грн","ЖК Park Avenue VIP","Деміївка","Голосіївський","2 кімнати","65 / 25 / 25 м²","поверх 6 з 23","спец. проект","монолітно-каркасний","2018"
"76 600 грн","ЖК RiverStone","Позняки","Дарницький","2 кімнати","85 / 40 / 20 м²","поверх 15 з 24","спец. проект","монолітно-каркасний","2012"
"16 000 грн","Позняки","Дарницький","Київ","3 кімнати","90 / 52 / 23 м²","поверх 9 з 16","спец. проект","цегляний будинок","1994"
