price,dist1,dist2,dist3,rooms,square,floor,type1,type2,type3,metro
76 600 грн,ЖК Бонапарт,Поділ,Подільський,4 кімнати,111 / 80 / 20 м²,поверх 9 з 10,спец. проект,монолітно-каркасний,19 січня,0
91 920 грн,ЖК Crystal Park,Шулявка,Шевченківський,4 кімнати,156 / 90 / 32 м²,поверх 7 з 10,спец. проект,монолітно-каркасний,вчора о 09:01,0
28 000 грн,Кудрявець,Шевченківський,Київ,3 кімнати,80 / 52 / 10 м²,поверх 5 з 5,сталінка,цегляний будинок,вчора о 12:22,0
42 130 грн,Липки,Печерський,Київ,5 кімнат,263 / 185 / 35 м²,поверх 3 з 18,спец. проект,монолітно-каркасний,сьогодні о 13:20,0
18 000 грн,Біличі,Святошинський,Київ,3 кімнати,115 / 63 / 15 м²,поверх 8 з 16,спец. проект,монолітно-каркасний,22 січня,0
34 470 грн,Липки,Печерський,Київ,4 кімнати,182 / 112 / 17 м²,поверх 4 з 5,сталінка,цегляний будинок,вчора о 09:31,0
383 000 грн,Поділ,Подільський,Київ,5 кімнат,268 / 150 / 30 м²,поверх 4 з 5,2015,,16 січня,0
76 600 грн,ЖК Липська вежа,Липки,Печерський,3 кімнати,145 / 77 / 19 м²,поверх 7 з 23,спец. проект,монолітно-каркасний,сьогодні о 08:45,0
11 500 грн,Троєщина,Деснянський,Київ,3 кімнати,65 / 40 / 8 м²,поверх 9 з 10,серія KП,цегляний будинок,21 січня,0
118 730 грн,Клубний будинок „Liberty Estate“,Татарка,Шевченківський,4 кімнати,185 / 90 / 30 м²,поверх 3 з 5,спец. проект,монолітно-каркасний,сьогодні о 08:43,0
45 960 грн,Нова забудова,Голосіївський,Київ,3 кімнати,119 / 48 / 32 м²,поверх 4 з 13,спец. проект,монолітно-каркасний,сьогодні о 13:20,0
49 790 грн,"ЖК пров. Лабораторний, 6",Черепанова гора,Печерський,4 кімнати,135 / 80 / 19 м²,поверх 3 з 25,спец. проект,монолітно-каркасний,вчора о 09:14,0
34 470 грн,"ЖК вул. Ахматової, 22 (будм-к. 8а, Позняки-2)",Позняки,Дарницький,3 кімнати,130 / 100 / 30 м²,поверх 23 з 24,спец. проект,монолітно-каркасний,вчора о 11:32,0
