price,district,rooms,floor,metro,total_area,kitchen_area,floor_total
57450,Святошинський,4,7.0,1,142.1,20.4,10.0
16500,Дніпровський,1,18.0,1,45.0,,25.0
14000,Дарницький,1,3.0,1,38.0,9.0,25.0
7000,Голосіївський,1,5.0,1,33.0,8.0,9.0
12000,Дарницький,2,4.0,1,60.0,12.0,16.0
20900,Печерський,1,2.0,1,36.0,,
12000,Святошинський,1,14.0,1,46.0,,
13000,Дарницький,2,6.0,1,61.0,,
10500,Дарницький,1,7.0,1,41.0,,
12900,Дарницький,1,5.0,1,38.0,9.0,25.0
53620,Дарницький,3,13.0,1,112.0,24.2,23.0
14500,Шевченківський,1,4.0,1,35.0,6.0,5.0
10500,Оболонський,1,8.0,1,40.0,9.0,16.0
53620,Печерський,1,11.0,1,59.0,23.0,28.0
18000,Печерський,2,5.0,1,52.0,10.0,18.0
126390,Печерський,5,15.0,1,200.0,22.0,16.0
45960,Печерський,3,6.0,1,160.0,34.0,21.0
11500,Шевченківський,2,3.0,1,46.0,6.0,5.0
11500,Оболонський,1,3.0,1,24.0,6.0,9.0
49790,Печерський,4,20.0,1,179.0,40.0,26.0
22000,Дарницький,1,13.0,1,45.0,24.0,25.0
24895,Шевченківський,1,5.0,1,65.0,18.0,10.0
222140,Голосіївський,3,19.0,1,185.0,25.0,21.0
5500,Шевченківський,1,7.0,1,15.0,2.0,32.0
55535,Печерський,3,7.0,1,127.0,30.0,22.0
57450,Шевченківський,3,9.0,1,85.0,30.0,20.0
33000,Печерський,3,4.0,1,90.0,8.0,6.0
76600,Печерський,4,20.0,1,131.5,20.0,23.0
76600,Шевченківський,3,3.0,1,96.0,12.0,5.0
76600,Печерський,3,19.0,1,100.0,30.0,23.0
61280,Шевченківський,3,7.0,1,110.0,20.0,7.0
36385,Дарницький,2,24.0,1,65.0,10.0,24.0
24000,Дарницький,1,25.0,1,41.0,17.0,26.0
134050,Печерський,2,14.0,1,140.0,20.0,28.0
